model,group,layer,feature,attention_method,spearman,p,n
physics-ckpt1,novices,7,SFD,raw,0.4575349356962757,2.5133730252644244e-87,1673
physics-ckpt1,novices,7,RPD_inc,raw,0.32651937162347083,1.6879172531362011e-43,1699
physics-ckpt1,novices,7,TFC,raw,0.37550446357005784,4.3278102288107944e-58,1701
physics-ckpt1,novices,7,pca,raw,0.35420193496633007,2.1701714817561488e-51,1699
physics-ckpt1,novices,8,FPRT,raw,0.4357311262729406,1.1460998726958346e-79,1699
physics-ckpt1,novices,8,TFT,raw,0.3870784534382147,6.498570128725131e-62,1701
physics-ckpt1,novices,8,FFD,raw,0.5009287182637299,1.3151205670143289e-108,1699
physics-ckpt1,novices,8,SFD,raw,0.47803411859751593,2.960803974884133e-96,1673
physics-ckpt1,novices,8,RPD_inc,raw,0.32630964036825066,1.9235273204398604e-43,1699
physics-ckpt1,novices,8,TFC,raw,0.41143928000959923,1.765857947519252e-70,1701
physics-ckpt1,novices,8,pca,raw,0.374699928026916,9.168242512501913e-58,1699
physics-ckpt1,novices,9,FPRT,raw,0.4004550367640177,1.8806421726688146e-66,1699
physics-ckpt1,novices,9,TFT,raw,0.37019571514030164,2.1814463658475914e-56,1701
physics-ckpt1,novices,9,FFD,raw,0.4473137694920986,2.322645066392496e-84,1699
physics-ckpt1,novices,9,SFD,raw,0.4252051803394054,1.9868428775780313e-74,1673
physics-ckpt1,novices,9,RPD_inc,raw,0.30313465964609987,1.9192804775253978e-37,1699
physics-ckpt1,novices,9,TFC,raw,0.38768998515011754,4.040877308921394e-62,1701
physics-ckpt1,novices,9,pca,raw,0.3568054080499503,3.568917412539541e-52,1699
physics-ckpt1,novices,10,FPRT,raw,0.46215120366816825,1.2090667422120213e-90,1699
physics-ckpt1,novices,10,TFT,raw,0.44497747534405674,1.7031798689518736e-83,1701
physics-ckpt1,novices,10,FFD,raw,0.4931204424234291,8.403612613175067e-105,1699
physics-ckpt1,novices,10,SFD,raw,0.4694753341633736,1.8770479448937952e-92,1673
physics-ckpt1,novices,10,RPD_inc,raw,0.3709240044732685,1.4845948819654334e-56,1699
