text_id,word_index_in_text,surprisal,index,epoch,domain,model,condition
b2,48,6.947484084897984,0.0,0.0,physics,german-gpt2,dapt
b2,49,4.839556505245646,0.0,0.0,physics,german-gpt2,dapt
b2,50,14.561089997256591,0.0,0.0,physics,german-gpt2,dapt
b2,51,2.0954089289056714,0.0,0.0,physics,german-gpt2,dapt
b2,52,5.613299777744401,0.0,0.0,physics,german-gpt2,dapt
b2,53,13.399987417593987,0.0,0.0,physics,german-gpt2,dapt
b2,54,3.7796028680494453,0.0,0.0,physics,german-gpt2,dapt
b2,55,2.864474755658548,0.0,0.0,physics,german-gpt2,dapt
b2,56,3.185482609268442,0.0,0.0,physics,german-gpt2,dapt
b2,57,26.697241815612664,0.0,0.0,physics,german-gpt2,dapt
b2,58,3.006241602608619,0.0,0.0,physics,german-gpt2,dapt
b2,59,11.591194520150713,0.0,0.0,physics,german-gpt2,dapt
b2,60,2.092756956429367,0.0,0.0,physics,german-gpt2,dapt
b2,61,0.08799981407058995,0.0,0.0,physics,german-gpt2,dapt
b2,62,11.319906334957306,0.0,0.0,physics,german-gpt2,dapt
b2,63,5.574461623630656,0.0,0.0,physics,german-gpt2,dapt
b2,64,10.933579642532369,0.0,0.0,physics,german-gpt2,dapt
b2,65,7.825268400428483,0.0,0.0,physics,german-gpt2,dapt
b2,66,11.946850514551382,0.0,0.0,physics,german-gpt2,dapt
b2,67,5.264973339958204,0.0,0.0,physics,german-gpt2,dapt
b2,68,4.194932714715887,0.0,0.0,physics,german-gpt2,dapt
b2,69,3.6486944897268994,0.0,0.0,physics,german-gpt2,dapt
b2,70,7.71892396016337,0.0,0.0,physics,german-gpt2,dapt
b2,71,13.669550853275386,0.0,0.0,physics,german-gpt2,dapt
b2,72,6.395778875403369,0.0,0.0,physics,german-gpt2,dapt
b2,73,5.5986915713801135,0.0,0.0,physics,german-gpt2,dapt
b2,74,1.5161961263014563,0.0,0.0,physics,german-gpt2,dapt
b2,75,9.696920505307654,0.0,0.0,physics,german-gpt2,dapt
b2,76,0.04769457807703366,0.0,0.0,physics,german-gpt2,dapt
b2,77,32.35785058095641,0.0,0.0,physics,german-gpt2,dapt
b2,78,15.695412190950936,0.0,0.0,physics,german-gpt2,dapt
b2,79,9.268925168301072,0.0,0.0,physics,german-gpt2,dapt
b2,80,4.707899863999558,0.0,0.0,physics,german-gpt2,dapt
b2,81,11.451613744675761,0.0,0.0,physics,german-gpt2,dapt
b2,82,11.81779060576031,0.0,0.0,physics,german-gpt2,dapt
b2,83,27.910038360030164,0.0,0.0,physics,german-gpt2,dapt
b2,84,6.959623308326484,0.0,0.0,physics,german-gpt2,dapt
b2,85,5.0271715527489915,0.0,0.0,physics,german-gpt2,dapt
b2,86,8.045079684470215,0.0,0.0,physics,german-gpt2,dapt
